state	action
0	1
1	-1
2	1
3	-1
4	1
5	1
6	-1
7	-1
8	0
9	-1
10	0
11	-1
12	-1
13	-1
14	-1
15	-1
16	-1
17	1
18	0
19	0
20	0
21	1
22	1
23	1
24	1
25	0
26	1
27	1
28	-1
29	-1
30	1
31	0
32	-1
33	0
34	1
35	1
36	-1
37	1
38	0
39	-1
40	0
41	0
42	0
43	0
44	0
45	1
46	1
47	0
48	-1
49	0
50	1
51	1
52	1
53	0
54	-1
55	0
56	1
57	-1
58	1
59	1
60	0
61	1
62	0
63	0
64	0
65	0
66	-1
67	-1
68	-1
69	1
70	-1
71	0
72	-1
73	0
74	1
75	-1
76	-1
77	-1
78	0
79	-1
80	1
81	1
82	1
83	1
84	1
85	0
86	1
87	1
88	-1
89	1
90	1
91	-1
92	0
93	0
94	-1
95	-1
96	0
97	1
98	1
99	1
100	1
101	1
102	1
103	0
104	1
105	1
106	0
107	0
108	0
109	-1
110	0
111	1
112	1
113	-1
114	-1
115	-1
116	1
117	-1
118	-1
119	0
120	1
121	0
122	1
123	1
124	0
125	1
126	-1
127	1
128	-1
129	-1
130	-1
131	0
132	-1
133	-1
134	0
135	1
136	0
137	-1
138	0
139	-1
140	1
141	0
142	0
143	-1
144	1
145	1
146	1
147	1
148	-1
149	-1
150	-1
151	0
152	0
153	1
154	0
155	1
156	0
157	1
158	1
159	1
160	1
161	0
162	1
163	0
164	-1
165	-1
166	0
167	-1
168	-1
169	-1
170	1
171	0
172	-1
173	1
174	1
175	-1
176	1
177	0
178	1
179	1
180	1
181	-1
182	1
183	0
184	1
185	-1
186	-1
187	1
188	0
189	0
190	0
191	1
192	-1
193	1
194	0
195	1
196	0
197	1
198	-1
199	-1
200	1
201	0
202	1
203	-1
204	0
205	-1
206	1
207	-1
208	-1
209	0
210	-1
211	0
212	1
213	1
214	1
215	0
216	1
217	1
218	-1
219	1
220	-1
221	0
222	-1
223	0
224	0
225	1
226	0
227	-1
228	0
229	1
230	-1
231	-1
232	0
233	1
234	-1
235	-1
236	0
237	1
238	1
239	-1
240	-1
241	-1
242	0
243	1
244	-1
245	1
246	1
247	-1
248	0
249	1
250	-1
251	0
252	0
253	0
254	1
255	1
256	0
257	-1
258	0
259	0
260	1
261	1
262	-1
263	0
264	1
265	1
266	0
267	0
268	-1
269	-1
270	0
271	-1
272	-1
273	1
274	-1
275	0
276	-1
277	0
278	-1
279	0
280	0
281	0
282	1
283	1
284	1
285	1
286	-1
287	-1
288	-1
289	0
290	-1
291	-1
292	0
293	0
294	0
295	1
296	-1
297	0
298	-1
299	0
300	0
301	-1
302	-1
303	1
304	0
305	1
306	0
307	0
308	-1
309	1
310	0
311	-1
312	-1
313	-1
314	-1
315	1
316	0
317	1
318	-1
319	0
320	0
321	0
322	0
323	0
324	-1
325	1
326	0
327	0
328	0
329	0
330	-1
331	1
332	-1
333	0
334	0
335	0
336	1
337	-1
338	0
339	0
340	-1
341	1
342	-1
343	-1
344	1
345	-1
346	-1
347	0
348	1
349	0
350	1
351	0
352	-1
353	0
354	1
355	1
356	-1
357	-1
358	-1
359	-1
360	0
361	1
362	0
363	-1
364	1
365	-1
366	-1
367	-1
368	0
369	-1
370	1
371	1
372	0
373	-1
374	0
375	1
376	1
377	1
378	1
379	0
380	1
381	-1
382	-1
383	0
384	1
385	-1
386	0
387	-1
388	-1
389	1
390	-1
391	-1
392	1
393	1
394	-1
395	-1
396	-1
397	0
398	1
399	1
400	0
401	1
402	1
403	1
404	1
405	1
406	1
407	1
408	1
409	0
410	1
411	0
412	0
413	-1
414	0
415	-1
416	-1
417	-1
418	0
419	-1
420	1
421	-1
422	0
423	0
424	1
425	1
426	0
427	-1
428	-1
429	-1
430	-1
431	-1
432	1
433	1
434	1
435	0
436	0
437	-1
438	-1
439	-1
440	-1
441	-1
442	0
443	-1
444	-1
445	1
446	-1
447	0
448	1
449	1
450	0
451	-1
452	-1
453	1
454	0
455	1
456	-1
457	0
458	0
459	0
460	-1
461	1
462	0
463	1
464	1
465	0
466	0
467	1
468	1
469	1
470	1
471	0
472	1
473	0
474	0
475	-1
476	-1
477	1
478	0
479	-1
480	0
481	-1
482	-1
483	-1
484	0
485	1
486	-1
487	-1
488	1
489	0
490	-1
491	-1
492	-1
493	-1
494	1
495	1
496	1
497	1
498	0
499	1
500	-1
501	0
502	0
503	-1
504	1
505	0
506	-1
507	1
508	-1
509	1
510	-1
511	-1
512	-1
513	0
514	1
515	0
516	1
517	0
518	0
519	0
520	1
521	1
522	0
523	0
524	0
525	-1
526	-1
527	0
528	-1
529	0
530	1
531	0
532	0
533	0
534	1
535	0
536	-1
537	0
538	0
539	0
540	-1
541	0
542	-1
543	-1
544	0
545	-1
546	1
547	-1
548	-1
549	-1
550	0
551	0
552	-1
553	0
554	1
555	0
556	1
557	-1
558	-1
559	1
560	0
561	1
562	-1
563	1
564	0
565	1
566	0
567	0
568	-1
569	-1
570	0
571	1
572	0
573	-1
574	-1
575	-1
576	1
577	-1
578	-1
579	1
580	0
581	0
582	-1
583	-1
584	1
585	0
586	0
587	0
588	0
589	1
590	1
591	-1
592	0
593	-1
594	-1
595	1
596	1
597	1
598	0
599	0
600	0
601	0
602	0
603	1
604	1
605	0
606	0
607	-1
608	0
609	0
610	-1
611	0
612	1
613	-1
614	1
615	1
616	-1
617	0
618	0
619	-1
620	0
621	0
622	1
623	-1
624	1
625	1
626	1
627	0
628	1
629	1
630	-1
631	-1
632	-1
633	0
634	1
635	0
636	-1
637	1
638	1
639	-1
640	1
641	-1
642	-1
643	0
644	0
645	1
646	0
647	0
648	1
649	1
650	1
651	1
652	-1
653	0
654	-1
655	0
656	1
657	1
658	0
659	-1
660	1
661	0
662	0
663	-1
664	1
665	-1
666	-1
667	-1
668	-1
669	0
670	-1
671	0
672	0
673	-1
674	-1
675	0
676	1
677	-1
678	1
679	1
680	0
681	0
682	0
683	-1
684	0
685	1
686	1
687	-1
688	-1
689	1
690	1
691	-1
692	1
693	1
694	0
695	-1
696	-1
697	-1
698	-1
699	0
700	0
701	-1
702	1
703	0
704	0
705	1
706	0
707	1
708	0
709	-1
710	1
711	1
712	0
713	0
714	1
715	-1
716	0
717	0
718	-1
719	-1
720	-1
721	-1
722	-1
723	-1
724	-1
725	-1
726	0
727	1
728	1
729	-1
730	1
731	-1
732	0
733	1
734	0
735	1
736	-1
737	-1
738	-1
739	1
740	0
741	1
742	-1
743	-1
744	1
745	-1
746	-1
747	0
